INTJ	0	-0.0	4	1.6312349451236585
NUM	60	-69.54619208504806	511	151.6592386994185
ADP	5086	1202.9761366760947	6902	-995.8632730110659
DET	5846	1269.862717201253	8202	-1068.6654304115068
PART	46	-92.27392888031987	975	352.66567938624337
SYM	0	-0.0	16	6.524939780494634
PRON	394	-414.0510093851937	2971	841.6230072738
PUNCT	2339	376.0598423291283	3608	-331.66378449333484
NOUN	8215	1434.0398031199957	12386	-1250.5410888092067
CCONJ	214	-190.86283531616954	1345	349.91272420345933
ADJ	928	-655.7060671412457	4689	1065.4831713477074
VERB	2151	81.89008801577708	4032	-79.56072845863719
ADV	396	-313.83626991765755	2216	539.3661869539148
AUX	339	-456.2823996772511	3550	1123.9452103109318
PROPN	87	-15.37487775431044	223	17.48503088839101
SCONJ	8	-18.152277782604116	223	83.08150377989097
